condition,family,forecast_model,prompt_variant,completion,outcome,forecast_ate
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,0.5
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,1
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,0.8
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,distrust_post,-1.5
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,donation_ams,0.1
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,funding_perceptions,1.2
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,inst_trust_mean,0.5
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,newsletter_signup,0.005
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_general,0.7
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_role_mean,1.8
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_specific_mean,0.6
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_multidimensional,1.2
Corporate reliance,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_post,1
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,1.5
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,2
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,2.5
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,distrust_post,-3
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,donation_ams,0.2
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,funding_perceptions,3.5
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,inst_trust_mean,1
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,newsletter_signup,0.005
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_general,3
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_role_mean,4
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_specific_mean,2.5
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_multidimensional,3
Social justice,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_post,3.5
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,0.5
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,0.8
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,0.7
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,distrust_post,-1
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,donation_ams,0.1
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,funding_perceptions,0.5
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,inst_trust_mean,0.6
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,newsletter_signup,0.005
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_general,0.7
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_role_mean,1.5
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_specific_mean,0.6
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_multidimensional,1.2
Interview Prof. Maraun,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_post,1
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,0.5
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,0.75
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,0.5
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,distrust_post,-1
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,donation_ams,0.1
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,funding_perceptions,1.5
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,inst_trust_mean,0.25
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,newsletter_signup,0.005
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_general,0.5
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_role_mean,0.75
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_specific_mean,0.4
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_multidimensional,0.75
Funding,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_post,0.75
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,1.5
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,3
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,2.5
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,distrust_post,-4
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,donation_ams,0.2
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,funding_perceptions,1
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,inst_trust_mean,0.5
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,newsletter_signup,0.005
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_general,2
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_role_mean,2.5
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_specific_mean,1.8
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_multidimensional,2.8
Oil industry misinformation,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_post,3.5
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,0.5
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,1.2
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,0.8
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,distrust_post,-0.7
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,donation_ams,0.1
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,funding_perceptions,0.6
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,inst_trust_mean,0.9
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,newsletter_signup,0.005
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_general,0.7
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_role_mean,1.1
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_specific_mean,0.5
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_multidimensional,1
Measurement & modeling (1),Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_post,0.9
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,0.5
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,1.5
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,0.8
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,distrust_post,-1
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,donation_ams,0.1
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,funding_perceptions,0.7
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,inst_trust_mean,0.4
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,newsletter_signup,0.005
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_general,0.6
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_role_mean,1.2
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,policy_specific_mean,0.5
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_multidimensional,1
Former skeptics,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,trust_post,1.1
High public trust,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,behavior_mean,0.5
High public trust,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,belief_post,1
High public trust,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,concern_mean,0.8
