condition,outcome,family,forecast_model,model_ate,n_prompt_variants,n_within_model_forecasts
Consensus,behavior_mean,Google,gemini-2.5-flash-lite,0.5,2,2
Consensus,belief_post,Google,gemini-2.5-flash-lite,1.25,2,2
Consensus,concern_mean,Google,gemini-2.5-flash-lite,0.875,2,2
Consensus,distrust_post,Google,gemini-2.5-flash-lite,-1.25,2,2
Consensus,donation_ams,Google,gemini-2.5-flash-lite,0.1,2,2
Consensus,funding_perceptions,Google,gemini-2.5-flash-lite,0.65,2,2
Consensus,inst_trust_mean,Google,gemini-2.5-flash-lite,0.375,2,2
Consensus,newsletter_signup,Google,gemini-2.5-flash-lite,0.005,2,2
Consensus,policy_general,Google,gemini-2.5-flash-lite,0.975,2,2
Consensus,policy_role_mean,Google,gemini-2.5-flash-lite,1.25,2,2
Consensus,policy_specific_mean,Google,gemini-2.5-flash-lite,0.875,2,2
Consensus,trust_multidimensional,Google,gemini-2.5-flash-lite,1.65,2,2
Consensus,trust_post,Google,gemini-2.5-flash-lite,1.65,2,2
Corporate reliance,behavior_mean,Google,gemini-2.5-flash-lite,0.5,2,2
Corporate reliance,belief_post,Google,gemini-2.5-flash-lite,0.65,2,2
Corporate reliance,concern_mean,Google,gemini-2.5-flash-lite,0.6000000000000001,2,2
Corporate reliance,distrust_post,Google,gemini-2.5-flash-lite,-1.5,2,2
Corporate reliance,donation_ams,Google,gemini-2.5-flash-lite,0.1,2,2
Corporate reliance,funding_perceptions,Google,gemini-2.5-flash-lite,1,2,2
Corporate reliance,inst_trust_mean,Google,gemini-2.5-flash-lite,0.5,2,2
Corporate reliance,newsletter_signup,Google,gemini-2.5-flash-lite,0.005,2,2
Corporate reliance,policy_general,Google,gemini-2.5-flash-lite,0.6499999999999999,2,2
Corporate reliance,policy_role_mean,Google,gemini-2.5-flash-lite,1.4,2,2
Corporate reliance,policy_specific_mean,Google,gemini-2.5-flash-lite,0.6499999999999999,2,2
Corporate reliance,trust_multidimensional,Google,gemini-2.5-flash-lite,1.2,2,2
Corporate reliance,trust_post,Google,gemini-2.5-flash-lite,1,2,2
Extreme weather predictions,behavior_mean,Google,gemini-2.5-flash-lite,0.5,2,2
Extreme weather predictions,belief_post,Google,gemini-2.5-flash-lite,0.475,2,2
Extreme weather predictions,concern_mean,Google,gemini-2.5-flash-lite,0.44999999999999996,2,2
Extreme weather predictions,distrust_post,Google,gemini-2.5-flash-lite,-0.5,2,2
Extreme weather predictions,donation_ams,Google,gemini-2.5-flash-lite,0.07500000000000001,2,2
Extreme weather predictions,funding_perceptions,Google,gemini-2.5-flash-lite,0.4,2,2
Extreme weather predictions,inst_trust_mean,Google,gemini-2.5-flash-lite,0.25,2,2
Extreme weather predictions,newsletter_signup,Google,gemini-2.5-flash-lite,0.0075,2,2
Extreme weather predictions,policy_general,Google,gemini-2.5-flash-lite,0.4,2,2
Extreme weather predictions,policy_role_mean,Google,gemini-2.5-flash-lite,0.4,2,2
Extreme weather predictions,policy_specific_mean,Google,gemini-2.5-flash-lite,0.375,2,2
Extreme weather predictions,trust_multidimensional,Google,gemini-2.5-flash-lite,0.4,2,2
Extreme weather predictions,trust_post,Google,gemini-2.5-flash-lite,0.4,2,2
Former skeptics,behavior_mean,Google,gemini-2.5-flash-lite,0.5,2,2
Former skeptics,belief_post,Google,gemini-2.5-flash-lite,1.25,2,2
Former skeptics,concern_mean,Google,gemini-2.5-flash-lite,0.8,2,2
Former skeptics,distrust_post,Google,gemini-2.5-flash-lite,-1.25,2,2
Former skeptics,donation_ams,Google,gemini-2.5-flash-lite,0.1,2,2
Former skeptics,funding_perceptions,Google,gemini-2.5-flash-lite,0.7,2,2
Former skeptics,inst_trust_mean,Google,gemini-2.5-flash-lite,0.35,2,2
Former skeptics,newsletter_signup,Google,gemini-2.5-flash-lite,0.005,2,2
Former skeptics,policy_general,Google,gemini-2.5-flash-lite,0.75,2,2
Former skeptics,policy_role_mean,Google,gemini-2.5-flash-lite,1.2,2,2
Former skeptics,policy_specific_mean,Google,gemini-2.5-flash-lite,0.65,2,2
Former skeptics,trust_multidimensional,Google,gemini-2.5-flash-lite,1,2,2
Former skeptics,trust_post,Google,gemini-2.5-flash-lite,1.1,2,2
Funding,behavior_mean,Google,gemini-2.5-flash-lite,0.5,2,2
Funding,belief_post,Google,gemini-2.5-flash-lite,0.475,2,2
Funding,concern_mean,Google,gemini-2.5-flash-lite,0.4,2,2
Funding,distrust_post,Google,gemini-2.5-flash-lite,-1.25,2,2
Funding,donation_ams,Google,gemini-2.5-flash-lite,0.07500000000000001,2,2
Funding,funding_perceptions,Google,gemini-2.5-flash-lite,1.25,2,2
Funding,inst_trust_mean,Google,gemini-2.5-flash-lite,0.225,2,2
Funding,newsletter_signup,Google,gemini-2.5-flash-lite,0.0035,2,2
Funding,policy_general,Google,gemini-2.5-flash-lite,0.45,2,2
