condition,outcome,family,forecast_model,prompt_variant,prompt_ate,n_completions
Consensus,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Consensus,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.5,1
Consensus,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Consensus,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-1,1
Consensus,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Consensus,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Consensus,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Consensus,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Consensus,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Consensus,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.5,1
Consensus,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Consensus,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.8,1
Consensus,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.8,1
Consensus,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Consensus,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Consensus,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.75,1
Consensus,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-1.5,1
Consensus,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.1,1
Consensus,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Consensus,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.25,1
Consensus,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Consensus,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.75,1
Consensus,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Consensus,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.75,1
Consensus,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.5,1
Consensus,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.5,1
Corporate reliance,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Corporate reliance,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Corporate reliance,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Corporate reliance,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-1.5,1
Corporate reliance,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Corporate reliance,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Corporate reliance,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Corporate reliance,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Corporate reliance,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.7,1
Corporate reliance,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.8,1
Corporate reliance,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
Corporate reliance,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Corporate reliance,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Corporate reliance,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Corporate reliance,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Corporate reliance,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Corporate reliance,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-1.5,1
Corporate reliance,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.1,1
Corporate reliance,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Corporate reliance,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Corporate reliance,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Corporate reliance,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.6,1
Corporate reliance,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Corporate reliance,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Corporate reliance,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.2,1
Corporate reliance,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Extreme weather predictions,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Extreme weather predictions,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.2,1
Extreme weather predictions,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.3,1
Extreme weather predictions,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-0.5,1
Extreme weather predictions,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Extreme weather predictions,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.4,1
Extreme weather predictions,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.2,1
Extreme weather predictions,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.01,1
Extreme weather predictions,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.3,1
Extreme weather predictions,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.4,1
