aggregation_level,contributor_type,condition,prompt_id,model_id,family,n_contributors,outcome,estimate
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,behavior_mean,3.2
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,belief_post,4.1
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,concern_mean,2.8
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,distrust_post,-2.5
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,donation_ams,0.18
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,funding_perceptions,3.5
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,inst_trust_mean,4.2
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,newsletter_signup,0.015
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,policy_general,3.8
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,policy_role_mean,4.5
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,policy_specific_mean,3.6
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,trust_multidimensional,5.1
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-haiku-4-5,Anthropic,1,trust_post,5.3
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,behavior_mean,3.2
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,belief_post,4.1
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,concern_mean,2.8
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,distrust_post,-2.1
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,donation_ams,0.18
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,funding_perceptions,2.5
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,inst_trust_mean,3.8
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,newsletter_signup,0.015
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,policy_general,3.5
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,policy_role_mean,2.9
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,policy_specific_mean,3.1
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,trust_multidimensional,4.2
prompt,completions,Consensus,tier3_direct_forecast_v2,claude-haiku-4-5,Anthropic,1,trust_post,4.5
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,behavior_mean,1.2
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,belief_post,2.5
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,concern_mean,1.5
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,distrust_post,-1.8
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,donation_ams,0.15
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,funding_perceptions,1.3
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,inst_trust_mean,1
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,newsletter_signup,0.01
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_general,1.4
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_role_mean,1.5
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_specific_mean,1
prompt,completions,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,trust_multidimensional,2
